product_id,sku,product_name,product_name_en,category_id,category_name,unit_id,unit_name,supplier_id,stock_quantity,reorder_level,reorder_quantity,import_price,selling_price,date_received,expiration_date,warehouse_location,sales_90d,avg_daily_sales_90d,forecast_14d,suggested_import_quantity,status,source_row_count
PROD0001,BAK-0001,Bánh quy bơ,Butter Biscuit,CAT01,Bánh mì & Bánh quy,UNIT05,hộp,SUP009,3,59,51,22000,30000,2025-02-06,2025-06-07,Kệ 2 - Tầng 2,33,0.37,6,62,Cần nhập,6
PROD0002,BAK-0002,Bánh quy socola,Chocolate Biscuit,CAT01,Bánh mì & Bánh quy,UNIT05,hộp,SUP012,49,19,79,19000,25000,2025-01-07,2025-05-09,Kệ 3 - Tầng 3,19,0.21,3,0,Đang bán,9
PROD0003,BAK-0003,Bánh quy ngũ cốc,Digestive Biscuit,CAT01,Bánh mì & Bánh quy,UNIT05,hộp,SUP001,17,50,54,15000,20000,2024-12-21,2025-04-23,Kệ 4 - Tầng 4,33,0.37,6,39,Cần nhập,10
PROD0004,BAK-0004,Bánh mì ngũ cốc,Multigrain Bread,CAT01,Bánh mì & Bánh quy,UNIT08,ổ,SUP009,41,49,38,13000,17000,2025-02-18,2025-06-22,Kệ 5 - Tầng 1,19,0.21,3,11,Cần nhập,8
PROD0005,BAK-0005,Bánh quy yến mạch,Oatmeal Biscuit,CAT01,Bánh mì & Bánh quy,UNIT05,hộp,SUP012,11,36,45,20000,25000,2024-11-07,2025-03-12,Kệ 6 - Tầng 2,27,0.3,5,30,Cần nhập,6
PROD0006,BAK-0006,Bánh mì lúa mạch đen,Rye Bread,CAT01,Bánh mì & Bánh quy,UNIT08,ổ,SUP001,36,57,70,12000,15000,2024-12-13,2025-04-18,Kệ 7 - Tầng 3,14,0.16,3,24,Cần nhập,8
PROD0007,BAK-0007,Bánh mì men chua,Sourdough Bread,CAT01,Bánh mì & Bánh quy,UNIT08,ổ,SUP009,38,78,65,16000,20000,2025-01-28,2025-06-04,Kệ 8 - Tầng 4,2,0.02,1,41,Cần nhập,11
PROD0008,BAK-0008,Bánh quy vani,Vanilla Biscuit,CAT01,Bánh mì & Bánh quy,UNIT05,hộp,SUP012,70,34,23,23000,28000,2024-07-27,2024-12-02,Kệ 1 - Tầng 1,19,0.21,3,0,Đang bán,3
PROD0009,BAK-0009,Bánh mì trắng,White Bread,CAT01,Bánh mì & Bánh quy,UNIT08,ổ,SUP001,34,76,68,10000,12000,2024-12-16,2025-04-24,Kệ 2 - Tầng 2,28,0.31,5,47,Cần nhập,9
PROD0010,BAK-0010,Bánh mì nguyên cám,Whole Wheat Bread,CAT01,Bánh mì & Bánh quy,UNIT08,ổ,SUP009,13,58,13,15000,18000,2025-01-10,2025-05-20,Kệ 3 - Tầng 3,34,0.38,6,51,Cần nhập,4
PROD0011,BEV-0011,Cà phê Arabica,Arabica Coffee,CAT02,Đồ uống,UNIT04,gói,SUP008,25,68,40,72000,100000,2025-01-04,2026-01-15,Kệ 4 - Tầng 4,25,0.28,4,47,Cần nhập,16
PROD0012,BEV-0012,Cà phê đen,Black Coffee,CAT02,Đồ uống,UNIT04,gói,SUP007,34,40,30,55000,75000,2025-02-03,2026-02-15,Kệ 5 - Tầng 1,16,0.18,3,9,Cần nhập,10
PROD0013,BEV-0013,Trà đen,Black Tea,CAT02,Đồ uống,UNIT05,hộp,SUP008,21,36,84,19000,25000,2025-01-06,2026-01-19,Kệ 6 - Tầng 2,24,0.27,4,19,Cần nhập,7
PROD0014,BEV-0014,Cà phê xanh,Green Coffee,CAT02,Đồ uống,UNIT04,gói,SUP007,28,58,56,45000,60000,2025-01-09,2026-01-23,Kệ 7 - Tầng 3,24,0.27,4,34,Cần nhập,8
PROD0015,BEV-0015,Trà xanh,Green Tea,CAT02,Đồ uống,UNIT05,hộp,SUP008,30,56,58,31000,40000,2025-01-23,2026-02-07,Kệ 8 - Tầng 4,15,0.17,3,29,Cần nhập,10
PROD0016,BEV-0016,Trà thảo mộc,Herbal Tea,CAT02,Đồ uống,UNIT05,hộp,SUP007,29,20,44,117000,150000,2025-01-28,2026-02-13,Kệ 1 - Tầng 1,25,0.28,4,0,Đang bán,6
PROD0017,BEV-0017,Cà phê Robusta,Robusta Coffee,CAT02,Đồ uống,UNIT04,gói,SUP008,46,52,45,40000,50000,2024-12-05,2025-12-22,Kệ 2 - Tầng 2,13,0.14,2,8,Cần nhập,8
PROD0018,BEV-0018,Trà trắng,White Tea,CAT02,Đồ uống,UNIT05,hộp,SUP007,30,80,50,100000,125000,2025-01-07,2026-01-25,Kệ 3 - Tầng 3,29,0.32,5,55,Cần nhập,10
PROD0019,DAI-0019,Bơ,Butter,CAT03,Sữa & Trứng,UNIT03,cái,SUP004,37,75,67,12000,15000,2025-01-03,2025-05-22,Kệ 4 - Tầng 4,11,0.12,2,40,Ngừng bán,5
PROD0020,DAI-0020,Sữa bơ,Buttermilk,CAT03,Sữa & Trứng,UNIT05,hộp,SUP003,39,66,70,10000,12000,2024-11-22,2025-04-11,Kệ 5 - Tầng 1,13,0.14,2,29,Cần nhập,7
PROD0021,DAI-0021,Phô mai Cheddar,Cheddar Cheese,CAT03,Sữa & Trứng,UNIT05,hộp,SUP004,27,62,44,38000,45000,2025-02-08,2025-06-29,Kệ 6 - Tầng 2,37,0.41,6,41,Cần nhập,10
PROD0022,DAI-0022,Phô mai,Cheese,CAT03,Sữa & Trứng,UNIT05,hộp,SUP003,35,31,32,32000,45000,2025-02-01,2025-06-23,Kệ 7 - Tầng 3,41,0.46,7,3,Cần nhập,7
PROD0023,DAI-0023,Phô mai Cottage,Cottage Cheese,CAT03,Sữa & Trứng,UNIT05,hộp,SUP004,39,62,67,18000,25000,2025-01-02,2025-05-25,Kệ 8 - Tầng 4,29,0.32,5,28,Cần nhập,4
PROD0024,DAI-0024,Kem sữa,Cream,CAT03,Sữa & Trứng,UNIT05,hộp,SUP003,30,28,52,9000,12000,2025-01-05,2025-05-29,Kệ 1 - Tầng 1,16,0.18,3,1,Cần nhập,6
